what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1254430217783
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1254430217783
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254430217783
java.vm.specification.version,sysinfo,,,"1.0",1254430217783
java.vm.vendor,sysinfo,,,"Apple Inc.",1254430217783
java.vm.version,sysinfo,,,"1.5.0_20-141",1254430217783
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254430219368
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1254430219406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254430221895
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254430224857
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254430242604
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1254430247918
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1254430247938
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1254430247945
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v200908270924,"org.eclipse.jst.jee.ui",1254430276568
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1254430276568
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1254430276587
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1254430277139
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1254430290119
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1254430290121
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1254430290160
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1254430290190
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1254430290279
opened,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1254430290371
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1254430290404
