7,56
6,56
92,40
28,25
72,38
6,75
15,94
84,21
1,56
79,43
51,74
38,58
5,15
18,43
40,40
21,16
75,66
88,36
14,66
61,52
26,62
94,25
38,67
29,28
83,98
70,61
44,34
61,51
80,7
3,73
16,59
25,75
55,93
5,38
19,11
52,71
63,13
46,22
96,50
50,34
77,38
2,74
57,17
90,44
5,42
80,69
99,26
90,85
67,65
58,86
75,83
94,61
45,73
71,75
68,71
64,32
75,43
15,9
12,93
42,80
14,34
22,59
45,46
86,70
49,43
51,63
16,80
92,86
31,69
60,10
48,15
52,4
9,23
79,54
89,43
6,10
48,8
0,13
72,51
77,46
89,69
66,48
36,57
50,62
22,85
12,72
28,65
25,89
58,36
53,99
62,72
61,10
7,15
22,43
81,52
46,89
9,98
85,35
58,5
19,60
38,44
55,97
29,9
19,14
0,52
50,82
98,29
39,57
5,72
55,77
96,50
79,17
69,21
64,91
39,94
5,96
43,11
84,12
99,27
8,42
75,80
23,43
61,63
83,50
86,8
96,85
47,12
60,15
55,4
56,80
88,67
17,35
43,57
6,38
98,41
53,89
9,61
27,41
8,10
44,98
7,3
52,70
2,6
86,44
60,59
43,43
75,97
92,25
78,3
33,39
50,21
20,97
48,94
35,27
81,99
56,3
0,37
8,8
86,13
91,64
73,16
45,85
1,72
87,85
18,95
41,85
97,55
14,22
14,91
61,89
96,21
87,34
72,1
34,12
36,60
60,57
46,39
82,71
30,68
96,98
87,87
22,46
47,48
74,58
17,36
3,22
44,26
79,55
41,57
89,39
39,54
80,12
82,70
21,64
61,78
23,89
16,4
18,86
86,17
3,86
87,39
13,23
35,43
35,47
92,43
71,1
35,96
4,98
22,52
12,37
95,50
42,88
53,49
51,90
70,67
83,91
32,31
30,22
55,16
86,68
74,14
25,99
96,88
18,64
33,25
38,90
65,21
14,81
36,61
77,86
46,43
99,41
23,78
58,57
0,21
55,13
76,89
98,42
47,67
51,31
80,84
55,83
35,18
65,88
84,9
83,21
41,70
82,17
18,1
27,45
23,76
31,77
41,22
37,36
80,52
97,33
81,55
36,66
79,27
77,87
86,56
28,29
94,38
21,1
14,94
28,57
89,1
0,93
21,37
14,6
49,60
37,64
29,85
0,25
62,95
97,53
59,76
44,80
2,47
2,97
91,97
85,30
85,69
91,3
98,27
9,19
46,34
78,58
81,98
7,94
52,83
84,32
33,7
67,29
88,30
70,52
95,48
26,17
8,56
72,52
97,39
11,81
58,97
32,97
18,96
61,47
47,0
69,11
97,74
23,65
21,66
19,18
61,33
56,46
76,29
60,11
97,1
53,95
35,53
61,38
15,12
6,4
42,79
17,10
84,75
25,30
52,72
41,91
23,47
21,74
5,65
6,81
57,10
34,89
94,13
45,1
56,7
92,58
85,73
65,64
39,30
87,17
22,1
53,62
75,61
21,34
71,87
13,32
67,26
11,27
6,39
16,18
3,12
94,35
65,34
62,54
69,93
71,21
91,64
50,35
64,21
80,71
39,60
55,77
65,38
19,92
42,39
88,3
55,68
30,35
76,88
53,92
86,95
54,4
96,22
25,68
26,85
92,68
33,92
69,4
51,32
38,72
80,23
33,32
54,84
43,36
51,98
36,19
75,45
83,45
99,23
96,35
20,38
82,94
94,38
65,5
17,95
3,23
31,81
60,49
8,34
88,6
77,42
43,8
26,69
68,34
35,83
44,30
77,33
29,81
45,46
84,30
14,58
82,5
64,82
88,83
31,33
88,79
90,39
53,90
67,98
75,85
57,61
13,84
5,19
71,32
97,16
0,9
79,49
77,35
88,42
57,56
46,73
36,36
